STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,kl,more_precip,soil_temperature,solar,water_equiv,weather_phenomena,pressure,air_temperature
07241,20060915,20200816,470,48.8707,9.6442,Welzheim,False,True,False,False,False,False,,
07242,19410101,20200816,565,48.5682,9.6372,Wiesensteig,False,True,False,False,False,False,,
07243,20060915,20200816,303,48.1372,8.0097,Winden,False,True,False,False,False,False,,
07244,19931122,20040930,62,53.1424,13.0319,Neuglobsow,True,True,True,False,True,True,,
07285,20051230,20200816,68,52.4153,11.0758,Bösdorf,False,True,False,False,True,False,,
07287,20051207,20200816,980,47.6050,13.0153,Berchtesgaden/Jenner,False,True,False,False,True,False,,
07298,20091217,20200816,5,54.5268,9.0425,Hattstedt,True,True,False,False,True,True,,
07308,19850206,20180125,541,47.8847,11.1540,Wielenbach,True,False,False,False,False,False,,
07319,20050302,20200816,435,48.7374,10.7393,Donauwörth-Osterweiler,True,True,True,False,True,True,,
07321,20081125,20200816,160,51.1507,11.3321,Olbersleben,True,True,False,False,True,True,,
07322,20051128,20200816,700,47.7660,7.7215,Malsburg-Marzell,False,True,False,False,True,False,,
07323,20060101,20200816,150,51.2359,12.5517,Belgershain,False,True,False,False,False,False,,
07324,20080320,20120205,85,50.0003,8.1025,Heidesheim,False,True,False,False,False,False,,
07325,20110901,20170116,2650,47.4167,10.9794,Schneefernerhaus,True,True,False,False,False,False,False,
07326,20060101,20200816,134,51.1918,12.7645,Grimma-Kleinbothen,False,True,False,False,False,False,,
07327,20070501,20200816,323,50.8836,13.0425,Frankenberg-Altenhain,False,True,False,False,False,False,,
07328,20060210,20200816,219,50.8543,12.4216,Ponitz,False,True,False,False,True,False,,
07329,20051219,20200816,465,50.5467,12.2863,Treuen,True,True,True,False,True,True,,
07330,20051230,20200816,159,51.4633,7.9780,Arnsberg-Neheim,True,True,True,False,True,True,,
07331,20051219,20200816,468,48.6099,10.2674,Hermaringen-Allewind,True,True,True,False,True,True,,
07333,20070126,20200816,727,50.5803,13.2966,Marienberg-Rübenau,False,True,False,False,True,False,,
07334,20060301,20200816,131,51.2651,13.3588,Heyda,False,True,False,False,False,False,,
07335,20060313,20200816,128,51.3658,13.5801,Strauch,False,True,False,False,True,False,,
07337,20071112,20200816,332,51.0577,14.6128,Dürrhennersdorf,False,True,False,False,True,False,,
07341,20050715,20200816,119,50.0900,8.7862,Offenbach-Wetterpark,True,True,True,False,False,False,,
07343,20060403,20200816,688,50.6199,13.4816,Deutschneudorf-Brüderwiese,True,True,False,False,True,True,,
07344,20060601,20200816,45,51.2992,6.2013,Nettetal-Hülst,False,True,False,False,False,False,,
07350,20070126,20200816,585,49.1088,12.8231,Prackenbach-Neuhäusl,True,True,False,False,True,True,,
