STATIONS_ID,date_start,date_end,height,geo_lat,geo_lon,name,air_temperature,cloud_type,cloudiness,dew_point,precipitation,pressure,soil_temperature,solar,sun,visibility,wind,wind_synop
00360,20040701,20191213,403,49.1115,11.4328,Berching,False,True,False,False,True,False,False,False,False,False,False,False
00361,19540101,19981231,550,47.6344,13.0109,Berchtesgaden,True,True,True,True,False,True,True,False,True,True,False,True
00368,20080103,20191212,70,52.8152,9.9248,Bergen,True,True,True,True,False,True,True,False,False,True,True,True
00377,20041001,20191213,210,49.1070,7.9967,"Bergzabern,",True,True,True,True,True,False,True,False,True,True,False,True
00378,20050401,20191213,136,51.6843,10.1077,Berka,False,True,False,False,True,False,False,False,False,False,False,False
00379,20170901,20191213,303,50.9074,11.2665,"Berka,",True,True,False,True,True,False,False,False,False,False,False,False
00384,20050622,20140918,570,48.0409,10.0808,Berkheim,False,True,False,False,True,True,False,False,False,False,False,False
00386,19730101,19820630,445,51.0454,8.3851,"Berleburg,",False,False,False,False,False,False,False,False,True,False,False,False
00389,20091101,20191213,436,51.0148,8.4318,"Berleburg,",False,True,False,False,True,False,False,False,False,False,False,False
00390,20040701,20191213,610,50.9837,8.3683,"Berleburg,",True,True,True,True,True,False,False,False,True,True,False,True
00399,19950901,20150630,36,52.5198,13.4057,Berlin-Alexanderplatz,True,True,True,True,True,True,True,False,False,False,True,True
00400,20040601,20191213,60,52.6309,13.5022,Berlin-Buch,True,True,True,True,True,False,True,False,True,True,True,True
00402,19510101,19601231,55,52.4564,13.2997,Berlin-Dahlem,False,False,False,False,False,False,False,False,True,False,False,False
00403,20020128,20191213,51,52.4537,13.3017,Berlin-Dahlem,True,True,True,True,True,True,True,False,True,True,False,True
00407,19610101,19771231,48,52.6461,13.2858,Berlin-Frohnau,False,False,False,False,False,False,False,False,True,False,False,False
00410,20040501,20181210,33,52.4040,13.7309,Berlin-Kaniswall,True,True,True,True,True,False,True,False,True,True,False,True
00420,20070801,20191213,60,52.5447,13.5598,Berlin-Marzahn,True,True,True,True,True,False,True,False,False,True,False,True
00424,19750101,19810101,36,52.5000,13.4667,Berlin-Ostkreuz,True,False,False,False,False,False,True,False,False,False,True,False
00427,19950901,20191213,46,52.3807,13.5306,Berlin-Schönefeld,True,True,True,True,True,True,True,False,True,True,True,True
00430,19950901,20191213,36,52.5644,13.3088,Berlin-Tegel,True,True,True,True,True,True,True,False,True,True,True,True
00432,19870101,19941231,36,52.6044,13.2952,Berlin-Tegeler,False,False,False,False,False,False,True,False,False,False,False,False
00433,19950901,20191213,48,52.4675,13.4021,Berlin-Tempelhof,True,True,True,True,True,True,True,False,True,True,True,True
00434,19560101,19601231,35,52.4553,13.4699,Berlin-Treptow,False,False,False,False,False,False,False,False,True,False,False,False
00443,20040315,20191213,936,47.7388,10.7448,Bernbeuren-Prachtsried,False,True,False,False,False,False,False,False,False,False,False,False
00445,20050701,20191213,84,51.8218,11.7109,Bernburg/Saale,True,True,True,True,True,False,True,False,True,True,False,True
00450,20051101,20121204,120,49.9186,7.0664,Bernkastel-Kues,True,True,True,True,True,True,True,False,True,True,False,True
00460,19950901,20191213,363,49.2640,6.6868,Berus,True,True,True,True,True,True,True,False,True,True,True,True
00468,20040911,20191213,505,49.7291,6.9175,Beuren,False,True,False,False,False,False,False,False,False,False,False,False
00474,19750601,19780601,599,48.1252,9.7639,Warthausen-Birkenhard,True,False,False,False,False,False,False,False,False,False,False,False
00479,20050201,20191213,138,50.2435,9.2893,Wächtersbach,False,True,False,False,True,False,False,False,False,False,False,False
00482,19510101,20051130,280,50.8833,8.5500,Biedenkopf-Eckelshausen,False,False,False,False,False,False,False,False,True,False,False,False
00498,20060724,20191213,760,47.7453,8.3111,Ühlingen-Birkendorf,False,True,False,False,True,False,False,False,False,False,False,False
00502,19870101,20061231,412,49.8747,9.4883,Bischbrunn,False,False,False,False,False,False,True,False,True,False,False,False
00504,20070601,20191213,78,51.7981,13.9718,"Bischdorf,",False,True,False,False,True,False,False,False,False,False,False,False
00505,20040901,20060616,332,51.4268,10.0932,Bischhagen,False,True,False,False,True,False,False,False,False,False,False,False
00508,19940401,20101230,675,50.0539,11.8149,Bischofsgrün,False,False,False,False,False,False,False,False,True,False,False,False
00522,20050220,20191126,425,48.7092,10.6283,Bissingen,False,True,False,False,False,False,False,False,False,False,False,False
00523,20060301,20180601,359,49.9797,6.5325,Bitburg,False,True,False,False,True,True,False,False,False,False,False,False
00524,19910101,19921231,80,51.6333,12.3167,Bitterfeld,False,False,False,False,False,False,False,False,True,False,False,False
00525,19820801,19891231,854,48.2435,9.1007,Bitz,False,False,False,False,False,False,False,False,True,False,False,False
00534,19510101,19601231,250,48.0500,7.6333,Blankenhornsberg,False,False,False,False,False,False,False,False,True,False,False,False
00535,20040601,20191213,417,50.0372,7.3079,Blankenrath,True,True,True,True,True,False,True,False,True,True,False,True
00542,20041101,20191213,12,53.2401,10.8522,Bleckede-Walmsburg,False,True,False,False,True,False,False,False,False,False,False,False
00550,20030709,20191213,344,50.9041,11.7985,Bobeck,False,True,False,False,True,False,False,False,False,False,False,True
00551,20061101,20191213,517,50.3887,11.9955,Weischlitz-Heinersgrün,False,True,False,False,True,False,False,False,False,False,False,False
00553,19700601,19741231,25,51.8380,6.6107,Bocholt,True,True,False,True,False,False,False,False,True,True,True,True
00554,19950901,20191213,23,51.8293,6.5365,Bocholt-Liedern,True,True,False,True,True,False,True,False,True,True,True,True
00555,20080101,20181101,101,51.4789,7.2697,Bochum,True,True,True,True,True,True,True,False,True,True,False,True
00561,20051001,20191213,11,53.3670,7.9679,Bockhorn-Grabstede,False,True,False,False,True,False,False,False,False,False,False,False
00567,20090901,20191213,258,51.6957,9.5135,Bodenfelde-Amelith,False,True,False,False,True,False,False,False,False,False,False,False
00570,19810101,19811231,648,49.0768,13.0765,Bodenmais-Mais,False,False,False,False,False,False,False,False,True,False,False,False
00584,20151123,20170125,127,51.4075,12.8626,Lossatal-Voigtshain,False,True,False,False,False,True,False,False,False,False,False,False
